EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
hari ini saya senang banget karena berhasil menyelesaikan proyek hobi favorit karya sendiri selalu bikin bangga,"berkonflik gak akan pernah selesai kalo kita terus rebutan. lebih baik saling mengalah dan mencari solusi bersama. damai itu indah, guys!",semua to do list yang gue buat di 2023 kemarin terlaksana dengan baik dan gue sangat puas dengan hasilnya,"sudah difase paling parah, tinggal kapan menyerah saja","salah satu alasan muter ulang terus menerus ice spice karena liriknya yang jenius, bikin penasaran!!","['hari', 'ini', 'saya', 'senang', 'banget', 'karena', 'berhasil', 'menyelesaikan', 'proyek', 'hobi', 'favorit', 'karya', 'sendiri', 'selalu', 'bikin', 'bangga']","['senang', 'banget', 'berhasil', 'menyelesaikan', 'proyek', 'hobi', 'favorit', 'karya', 'bangga']","['hari', 'ini', 'saya', 'senang', 'banget', 'karena', 'berhasil', 'menyelesaikan', 'proyek', 'hobi', 'favorit', 'karya', 'sendiri', 'selalu', 'bikin', 'bangga']"
bulan depan gue mau jalanjalan nih ke bali sama keluarga gue kalian ada yang mau ikut tapi bayar sendiri ya hihi,"gue percaya, doa bisa buat kita lebih tenang","kalian jangan takut buat ngadepin tantangan baru, justru tantangan baru bisa jadi kesempatan kita buat belajar dan berkembang. keluarlah dari zona nyaman jadi lebih kuat dan kompeten.","berantakan banget hidupku, capek mental capek fisik juga. kayaknya udah ngga ada waktu buat diriku sendiri, semuanya berantakan","menurut gue pribadi, seni bisa jadi bentuk protes yang paling damai. lewat karya yang kita buat, kita bisa menyuarakan apa yang kita rasakan.","['bulan', 'depan', 'gue', 'mau', 'jalanjalan', 'nih', 'ke', 'bali', 'sama', 'keluarga', 'gue', 'kalian', 'ada', 'yang', 'mau', 'ikut', 'tapi', 'bayar', 'sendiri', 'ya', 'hihi']","['gue', 'jalanjalan', 'bali', 'keluarga', 'gue', 'bayar', 'hihi']","['bulan', 'depan', 'saya', 'mau', 'jalanjalan', 'nih', 'ke', 'bali', 'sama', 'keluarga', 'saya', 'kalian', 'ada', 'yang', 'mau', 'ikut', 'tetapi', 'bayar', 'sendiri', 'ya', 'hihi']"
seruu yaa ikut acara kumpul sama para pencinta kpok kita ngobrolin bias kita masingmasing jadi nambah temen baruu dehh,"ingat, jangan pernah meremehkan kekuatan doa. pray for a better world!","kunci dari keberhasilian tuh menurutku repetisi, jadi kita harus konsisten untuk mengulang-ngulang hal tersebut biar kita bisa dan terbiasa",pusing juga ya gak tidur seharian tapi harus tetep kuliah,"provos, protes, dan progressif itu tiga hal yang bisa bikin perubahan. jangan takut bersuara!","['seruu', 'yaa', 'ikut', 'acara', 'kumpul', 'sama', 'para', 'pencinta', 'kpok', 'kita', 'ngobrolin', 'bias', 'kita', 'masingmasing', 'jadi', 'nambah', 'temen', 'baruu', 'dehh']","['seruu', 'yaa', 'acara', 'kumpul', 'pencinta', 'kpok', 'ngobrolin', 'bias', 'masingmasing', 'nambah', 'temen', 'baruu', 'dehh']","['seruu', 'yaa', 'ikut', 'acara', 'kumpul', 'sama', 'para', 'pencinta', 'kpok', 'kita', 'ngobrolin', 'bias', 'kita', 'masingmasing', 'jadi', 'tambah', 'temen', 'baruu', 'dehh']"
ih panas banget ga sih hari ini padahal kemarin hujan lebat tapi sekarang panasnya bikin mendidih gws dah cuaca stay safe guys,"maafin temen yang pernah salahin kita, guys. kita semua manusia, pasti punya kekurangan. jangan biarkan ego merusak hubungan.",semakin yakin skor utbk gue bisa tembus 700+++,aku udah cukup menderita sama rasa sakit yang dikasih orang-orang sekitar,hari ini kita cover lagu apa ya? ada request dari kalian?,"['ih', 'panas', 'banget', 'ga', 'sih', 'hari', 'ini', 'padahal', 'kemarin', 'hujan', 'lebat', 'tapi', 'sekarang', 'panasnya', 'bikin', 'mendidih', 'gws', 'dah', 'cuaca', 'stay', 'safe', 'guys']","['ih', 'panas', 'banget', 'kemarin', 'hujan', 'lebat', 'panasnya', 'mendidih', 'gws', 'dah', 'cuaca', 'stay', 'safe', 'guys']","['ih', 'panas', 'banget', 'tidak', 'sih', 'hari', 'ini', 'padahal', 'kemarin', 'hujan', 'lebat', 'tetapi', 'sekarang', 'panasnya', 'bikin', 'mendidih', 'gws', 'dah', 'cuaca', 'stay', 'safe', 'guys']"
rekomendasiin gue hadiah buat ulang tahun temen gue dong,jangan lupa selalu jujur dalam tiap tindakan yaa,"gue belajar kolaborasi tim yang sukses butuh disiplin dari setiap anggota. saling support, komunikasi yang baik, dan komitmen bikin proyek berjalan lancar dan sukses. teamwork makes the dream work","bingung banget gimana caranya buat ngadepin masalah yang sedang aku hadapin, ngga ada orang yang bisa diajak bicara di hidupku",kalian ada yang tau sustainable living? entah kenapa gue suka banget sama konsep satu ini. dalam konsep ini kita jadi bisa tahu dan bisa lebih menghargai alam supaya hidup kita jauh lebih seimbang,"['rekomendasiin', 'gue', 'hadiah', 'buat', 'ulang', 'tahun', 'temen', 'gue', 'dong']","['rekomendasiin', 'gue', 'hadiah', 'ulang', 'temen', 'gue']","['rekomendasiin', 'saya', 'hadiah', 'buat', 'ulang', 'tahun', 'temen', 'saya', 'dong']"
gue abis reunian dan ketemu tementemen lama gua gilaa nostalgia abiss,"jangan nilai sedekah dari apa yang kalian kasih, sedekah itu semampunya saja walaupun sedekah kecil, tapi bisa berdampak besar","berangkat kerja pagi-pagi, siap banget buat menghadapi hari dengan semangat.","malang banget nasib gue, udah usaha keras tapi tetep aja hasilnya sial terus, ga pernah tuh ada berhasil-berhasilnya",kalian pernah ga si bosan sama rutinitas kalian tiap hari? coba deh kalian cari hobi baru atau belajar hal yang baru. itu bisa jadi bikin hidup kita lebih berwarna,"['gue', 'abis', 'reunian', 'dan', 'ketemu', 'tementemen', 'lama', 'gua', 'gilaa', 'nostalgia', 'abiss']","['gue', 'abis', 'reunian', 'ketemu', 'tementemen', 'gua', 'gilaa', 'nostalgia', 'abiss']","['saya', 'abis', 'reunian', 'dan', 'ketemu', 'tementemen', 'lama', 'gua', 'gilaa', 'nostalgia', 'abiss']"
gue lagi piknik ke taman makan bekal enak bareng keluarga hidup ini indah banget ya,"deg-deg an deh, soalnya besok pertama kali donor darah :)","rencana buat 3 tahun kedepan nih punya gaji 2 digit sebulan, maka dari itu kita harus selalu sehat biar bisa ngejarnya!","di negara sendiri, mau sampai kapanpun tidak akan pernah dihargai dan hidup tenang.","katanya mahasiswa agent of change, dituntut kritis. kalau gak terima silakan buka ruang diskusi dan compare.","['gue', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']","['gue', 'piknik', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'indah', 'banget']","['saya', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']"
aku tadi dateng ke cafe di daerah serpong lucu bangett makannya berbentuk hewan hewan gemasss,"lagi ada program sedekah baju bekas, yuk kita bagi-bagi ke yang membutuhkan.","sore ini mau belajar tentang cyber security, dan malemnya aku mau baca novel deh biar otakku fresh","merasa bersalah karena gak bisa bahagiain orang tua, maaf ya pa ma aku belum bisa berguna","jenius itu bukan tentang iq tinggi, tapi tentang cara kita memanfaatkan potensi dan keunikan kita.","['aku', 'tadi', 'dateng', 'ke', 'cafe', 'di', 'daerah', 'serpong', 'lucu', 'bangett', 'makannya', 'berbentuk', 'hewan', 'hewan', 'gemasss']","['dateng', 'cafe', 'daerah', 'serpong', 'lucu', 'bangett', 'makannya', 'berbentuk', 'hewan', 'hewan', 'gemasss']","['saya', 'tadi', 'dateng', 'ke', 'cafe', 'di', 'daerah', 'serpong', 'lucu', 'bangett', 'makannya', 'berbentuk', 'hewan', 'hewan', 'gemasss']"
lagi musim mutualan ig sebelum di blokir ada yang mau mutualan ga,"kenapa tiap kali gue lihat aksi relawan, gue jadi terenyuh yaa?","tau gasii, produktif itu dateng dari hasil manajemen waktu yang baik. jangan nunda-nunda kerjaan deh, mending kerjain sekarang biar nanti bisa santai.","susah buat move on, tiap kali aku inget kejadian masa lalu yang bikin hati aku hancur dan udah gada harapan","menurut gue, hidup adalah perjalanan yang penuh dengan warna. jadi kita harus selalu terbuka pada pengalaman baru yang kita dapatkan","['lagi', 'musim', 'mutualan', 'ig', 'sebelum', 'di', 'blokir', 'ada', 'yang', 'mau', 'mutualan', 'ga']","['musim', 'mutualan', 'ig', 'blokir', 'mutualan']","['lagi', 'musim', 'mutualan', 'ig', 'sebelum', 'di', 'blokir', 'ada', 'yang', 'mau', 'mutualan', 'tidak']"
seperti biasa hari ini ngopi bareng temen di warung kopi langganankueh tiba tiba yang lain pada datang nyamperin jadi banyak temen yang dateng senneg banget deh,"alhamdulillah, bersyukur banget bisa punya kehidupan yang gue jalani sekarang, sehat, keluarga yang utuh, dan juga punya tempat tinggal..","gak sia sia rajin pake spf tiap hari, kulit wajah gue terlindungi dan sehat sempurna, gak pernah ada flek flek apa pun.",gue gampang depresi kalo ada masalah dikit gue langsung down dan pengen nya nangis aja di kamar.,penasaran deh gimana cara kerja teknologi terutama ai sampe sampe bisa gantiin beberapa bidang usaha dan pekerjaan yang tadinya dikerjain sama manusia kayak kita kita ini..,"['seperti', 'biasa', 'hari', 'ini', 'ngopi', 'bareng', 'temen', 'di', 'warung', 'kopi', 'langganankueh', 'tiba', 'tiba', 'yang', 'lain', 'pada', 'datang', 'nyamperin', 'jadi', 'banyak', 'temen', 'yang', 'dateng', 'senneg', 'banget', 'deh']","['ngopi', 'bareng', 'temen', 'warung', 'kopi', 'langganankueh', 'nyamperin', 'temen', 'dateng', 'senneg', 'banget', 'deh']","['seperti', 'biasa', 'hari', 'ini', 'ngopi', 'bareng', 'temen', 'di', 'warung', 'kopi', 'langganankueh', 'tiba', 'tiba', 'yang', 'lain', 'pada', 'datang', 'nyamperin', 'jadi', 'banyak', 'temen', 'yang', 'dateng', 'senneg', 'banget', 'deh']"
,"kadang kita perlu belajar mengalah dan sabar biar nggak gampang bertengkar. hidup ini singkat, mending kita saling menghargai dan menyayangi",,,,[],[],[]
jangan sampe momen momen yang membahagiakan sama temen temen gue terlupakan begitu aja harus gue abadiin kegiatan kegiatan seru yang gue lakuin bareng temen temen gue,happy banget bisa gabung di program jumat berkah dan berbagi kebaikan di unit mahasiswa di kampus gue.,"reminder buat para cewe-cewe, harus rajin dan jangan pernah lupa untuk konsisten periksa kesehatan diri kita pribadi, banyak yang kita sebagai cewek harus lebih hati hati. selalu rencanakan medical check up dan lakukan dengan teliti ya.","mungkin gue nggak ramah sama orang yang baru kenal, ya takut aja gue kalo nanti malah jadi deket. padahal belom kenal kenal banget kan..",saya punya cukup banyak hobi di bidang kesenian.,"['jangan', 'sampe', 'momen', 'momen', 'yang', 'membahagiakan', 'sama', 'temen', 'temen', 'gue', 'terlupakan', 'begitu', 'aja', 'harus', 'gue', 'abadiin', 'kegiatan', 'kegiatan', 'seru', 'yang', 'gue', 'lakuin', 'bareng', 'temen', 'temen', 'gue']","['sampe', 'momen', 'momen', 'membahagiakan', 'temen', 'temen', 'gue', 'terlupakan', 'gue', 'abadiin', 'kegiatan', 'kegiatan', 'seru', 'gue', 'lakuin', 'bareng', 'temen', 'temen', 'gue']","['jangan', 'sampe', 'momen', 'momen', 'yang', 'membahagiakan', 'sama', 'temen', 'temen', 'saya', 'terlupakan', 'begitu', 'saja', 'harus', 'saya', 'abadiin', 'kegiatan', 'kegiatan', 'seru', 'yang', 'saya', 'lakuin', 'bareng', 'temen', 'temen', 'saya']"
siapa yang malam minggunya dirumah aja maen yuu,"ibu aku sering banget kalau masak terus di bagiin ke tetangga-tetangga, jadi inspirasi sendiri buat aku, supaya selalu inget dgn sesama","aktif di organisasi kampus bikin kita belajar banyak hal, mulai kepemimpinan sampai kerja sama tim. semoga pengalaman ini bisa bermanfaat buat masa depan",malam-malam bukanya tidur malah khawatir buat jalanin hari besok. ga ada satupun yang bisa bikin gue tenang,"kalian setuju ga kalau ada aksi boikot produk yang gak ramah lingkungan? kalau aku si setuju banget, karena itu bisa jadi perubahan yang besar baki lingkungan","['siapa', 'yang', 'malam', 'minggunya', 'dirumah', 'aja', 'maen', 'yuu']","['malam', 'minggunya', 'dirumah', 'maen', 'yuu']","['siapa', 'yang', 'malam', 'minggunya', 'dirumah', 'saja', 'maen', 'yuu']"
seneng banget deh gua mau diajakin hiking sama tementemen gue,"gaes, open donasi yuu buat mereka yang lagi terdampak bencana alam ","kalian kalau kerja tipe orang yang gimana gaes? gue si jujur yang efisien, jadi gue bisa hemat waktu dan tenaga juga, ayo gaes belajar buat jadi yang lebih baik.","malu banget sama diri gue sendiri, ngga ada yang bisa gue banggain ke siapa-siapa, selalu gagal bahkan jadi beban buat orang lain",gue tuh suka banget sama konsep anarki yang positif. kita lebih bebas dalam berekspresi dan juga jadi diri sendiri tanpa adanya tekanan,"['seneng', 'banget', 'deh', 'gua', 'mau', 'diajakin', 'hiking', 'sama', 'tementemen', 'gue']","['seneng', 'banget', 'deh', 'gua', 'diajakin', 'hiking', 'tementemen', 'gue']","['seneng', 'banget', 'deh', 'gua', 'mau', 'diajakin', 'hiking', 'sama', 'tementemen', 'saya']"
hari ini doi main futsal di liga pulang sekolah berkedok yang nonton dikasih eskrim akhirnya bolos les lah gw setengah jam demi nonton doi meskipun udah sampe tempat les lari pun ku jabanin mas demi menonton kamu mas,"kasih sayang itu menular, guys! yuk, sebarkan kebaikan dan jadi sumber kebahagiaan bagi orang di sekitar kita.","gue harus nyelesain revisian malem ini, gue gak mau nunda-nunda kerjaan","udah terlalu sering sakit hati sampe gak bisa nangis, apa mungkin aku udah mati rasa?",video tutorial untuk mengurangi sampah plastik hari ini tayang!! kalian harus nonton plus praktekin yaa!! siapa tahu ada ide baru yang bisa di share lagi.,"['hari', 'ini', 'doi', 'main', 'futsal', 'di', 'liga', 'pulang', 'sekolah', 'berkedok', 'yang', 'nonton', 'dikasih', 'eskrim', 'akhirnya', 'bolos', 'les', 'lah', 'gw', 'setengah', 'jam', 'demi', 'nonton', 'doi', 'meskipun', 'udah', 'sampe', 'tempat', 'les', 'lari', 'pun', 'ku', 'jabanin', 'mas', 'demi', 'menonton', 'kamu', 'mas']","['doi', 'main', 'futsal', 'liga', 'pulang', 'sekolah', 'berkedok', 'nonton', 'dikasih', 'eskrim', 'bolos', 'les', 'gw', 'jam', 'nonton', 'doi', 'udah', 'sampe', 'les', 'lari', 'ku', 'jabanin', 'mas', 'menonton', 'mas']","['hari', 'ini', 'doi', 'main', 'futsal', 'di', 'liga', 'pulang', 'sekolah', 'berkedok', 'yang', 'nonton', 'dikasih', 'eskrim', 'akhirnya', 'bolos', 'les', 'lah', 'gw', 'setengah', 'jam', 'demi', 'nonton', 'doi', 'meskipun', 'sudah', 'sampe', 'tempat', 'les', 'lari', 'pun', 'ku', 'jabanin', 'mas', 'demi', 'menonton', 'kamu', 'mas']"
omg marketday hari ini lancar banget banyak banget yang beli jualan gue makasih guys yang udah mampir beliiiii,"guys, please banget pas pilpres nanti jangan pada bertengkar, masa hari kasih sayang jadi hari kebencian…","nugas di cafe yang rame tuh kurang efisien menurut gue, gue pribadi lebih suka nugas di perpustakaan karena itu lebih bisa bikin gue ngerasa fokus",rencanaku bener bener kurang matang sampe-sampe sekarang semuanya hancur berantakan,"ternyata bidang it banyak yaaa... aku sih suka yang berhubungan sama data, kalau kalian gimana?","['omg', 'marketday', 'hari', 'ini', 'lancar', 'banget', 'banyak', 'banget', 'yang', 'beli', 'jualan', 'gue', 'makasih', 'guys', 'yang', 'udah', 'mampir', 'beliiiii']","['omg', 'marketday', 'lancar', 'banget', 'banget', 'beli', 'jualan', 'gue', 'makasih', 'guys', 'udah', 'mampir', 'beliiiii']","['omg', 'marketday', 'hari', 'ini', 'lancar', 'banget', 'banyak', 'banget', 'yang', 'beli', 'jualan', 'saya', 'terima kasih', 'guys', 'yang', 'sudah', 'mampir', 'beliiiii']"
secinta cintanya gue dirumah gue bakal lebih seneng keluar rumah jalan jalan sama temen temen gue deh beneran,"walaupun gaji belum naik naik dari pertama masuk kerja, gue tetep betah kerja sama bos gue, dia baik banget soalnya, gue juga gapapa yang penting lingkungannya nyaman dan damai buat gue..","setelah kerja keras sekian lama, disiplin nabung dan juga dengan komitmen yang kuat, alhamdulillah tahun ini gue berhasil beli rumah idaman gue, tanpa disokong duit orang tua sedikit pun..","banyak orang mengalami kesedihan, salah satunya gue, yang kilo sedih pasti ngurung diri di kamar lama banget..","gak ada salahnya sekali sekali bertindak spontan, tanpa rencana, biar kreativitas yang bicara!","['secinta', 'cintanya', 'gue', 'dirumah', 'gue', 'bakal', 'lebih', 'seneng', 'keluar', 'rumah', 'jalan', 'jalan', 'sama', 'temen', 'temen', 'gue', 'deh', 'beneran']","['secinta', 'cintanya', 'gue', 'dirumah', 'gue', 'seneng', 'rumah', 'jalan', 'jalan', 'temen', 'temen', 'gue', 'deh', 'beneran']","['secinta', 'cintanya', 'saya', 'dirumah', 'saya', 'bakal', 'lebih', 'seneng', 'keluar', 'rumah', 'jalan', 'jalan', 'sama', 'temen', 'temen', 'saya', 'deh', 'beneran']"
ya tuhan jadikanlah aku dan teman temanku lulus bareng tahun ini supaya kami tetap bisa barengbareng sampai kapanpun,"mau cari umkm buat pesen 400 porsi makanan, buat dibagi-bagiin di hari jumat berkah ini..","dari dulu gue terkenal ambis, alias ambisius..","padahal kalo siang gw gak kenapa napa, tapi malem suka tiba tiba sedih tanpa alesan..",seru banget baru tau info baru ada sekitar 500 juta bintang dalam satu foto luar angkasa ini.,"['ya', 'tuhan', 'jadikanlah', 'aku', 'dan', 'teman', 'temanku', 'lulus', 'bareng', 'tahun', 'ini', 'supaya', 'kami', 'tetap', 'bisa', 'barengbareng', 'sampai', 'kapanpun']","['tuhan', 'jadikanlah', 'teman', 'temanku', 'lulus', 'bareng', 'barengbareng']","['ya', 'tuhan', 'jadikanlah', 'saya', 'dan', 'teman', 'temanku', 'lulus', 'bareng', 'tahun', 'ini', 'supaya', 'kami', 'tetap', 'bisa', 'barengbareng', 'sampai', 'kapanpun']"
,doa itu kekuatan terbesar kita. jangan lupa selalu berdoa untuk kebaikan diri sendiri dan orang lain,,,,[],[],[]
lebih memilih makan sederhana asal bareng temen temen daripada nongkrong di cafe fancy sendirian doang,"menolong tanpa berharap imbalan apapun dan dari siapapun, bisa bikin keempat hormon bahagia dalam tubuh kit naik..","gue mendisiplinkan diri buat dhuha dan tahajud, berdoa semoga semua rencana rencana gue tahun ini berhasil satu per satu.","kenapa ya akhir akhir ini bawaannya gue sediiih muluk, depresiii muluk deh, sering nangis tiba tiba apalagi kalo sendirian di kamar.","sering disangka mahasiswa baru mungkin karena tiap ikutan kelas mata kuliah umum, gue banyak tanya ke dosennya kali yah..","['lebih', 'memilih', 'makan', 'sederhana', 'asal', 'bareng', 'temen', 'temen', 'daripada', 'nongkrong', 'di', 'cafe', 'fancy', 'sendirian', 'doang']","['memilih', 'makan', 'sederhana', 'bareng', 'temen', 'temen', 'nongkrong', 'cafe', 'fancy', 'doang']","['lebih', 'memilih', 'makan', 'sederhana', 'asal', 'bareng', 'temen', 'temen', 'daripada', 'nongkrong', 'di', 'cafe', 'fancy', 'sendirian', 'doang']"
aku beneran gapapa ditinggal sama ortu asal di rumah ada saudara atau temen temen yang bisa nemenin aku,"minta maaf yuk, sama keluarga kita, temen temen deket kita, karna selama ini kita pasti ada salah ke mereka, saling memaafkan itu indah lho..","masuk akuntansi emang udah paling cocok, sifat perfeksionis dan ambisius gue tersalurkan banget disini.",gue juga ga paham kenapa kadang kadang gue tiba tiba gampang sedia dan putus asa.    ,"selalu tertarik tiap datang ke pameran pameran seni, kayak, hal hal yang artistik itu bikin penasaran gimana sih cara buatnya?","['aku', 'beneran', 'gapapa', 'ditinggal', 'sama', 'ortu', 'asal', 'di', 'rumah', 'ada', 'saudara', 'atau', 'temen', 'temen', 'yang', 'bisa', 'nemenin', 'aku']","['beneran', 'gapapa', 'ditinggal', 'ortu', 'rumah', 'saudara', 'temen', 'temen', 'nemenin']","['saya', 'beneran', 'tidak apa apa', 'ditinggal', 'sama', 'ortu', 'asal', 'di', 'rumah', 'ada', 'saudara', 'atau', 'temen', 'temen', 'yang', 'bisa', 'nemenin', 'saya']"
dufan siang ini bareng temanteman adalah obat stres terbaik teriakan senang dan tawa keras semuanya bikin hari jadi cerah,"ikhlas itu berat, tapi hasilnya pasti manis. yuk, jadi orang yang ikhlas dalam memberi.",kok bisa sih orang-orang gak merasa bersalah dateng gak tepat waktu? gue sebagai orang yang selalu tepat waktu ngerasa kalo waktu gue terbuang sia-sia!,"udah gak ada lagi yang mau aku kejar, aku udah gak mau lagi lanjutin hidupku, aku mau nyerah","akhirnya nyampe rumah, tadi pulang kuliah harus diskusi dulu untuk tugas pameran minggu depan. terbuka untuk ide-ide baru dan kolaborasi bagus bukan!","['dufan', 'siang', 'ini', 'bareng', 'temanteman', 'adalah', 'obat', 'stres', 'terbaik', 'teriakan', 'senang', 'dan', 'tawa', 'keras', 'semuanya', 'bikin', 'hari', 'jadi', 'cerah']","['dufan', 'siang', 'bareng', 'temanteman', 'obat', 'stres', 'terbaik', 'teriakan', 'senang', 'tawa', 'keras', 'cerah']","['dufan', 'siang', 'ini', 'bareng', 'temanteman', 'adalah', 'obat', 'stres', 'terbaik', 'teriakan', 'senang', 'dan', 'tawa', 'keras', 'semuanya', 'bikin', 'hari', 'jadi', 'cerah']"
seneng banget deh pas ulang tahun kemarin mas gebetan mau ngelakuin apa aja buat gue ya meskipun hanya dianggap temen doang ya,"hari ini aku dapet kabar baik, ternyata bisa bantu teman yang lagi kesulitan finansial. seneng banget bisa jadi bagian solusinya!","setiap manusia tuh pasti memperjuangkan hidupnya masing-masing sih biar bisa jadi orang yang sukses, makanya kita harus konsisten sama apa yang kita rencanain","udah kejebak di zona nyaman, males ngapa-ngapain","salut sama orang yang paham betul tentang ilmu sains, aku selalu tergiur mau belajar lebih tentang sains juga","['seneng', 'banget', 'deh', 'pas', 'ulang', 'tahun', 'kemarin', 'mas', 'gebetan', 'mau', 'ngelakuin', 'apa', 'aja', 'buat', 'gue', 'ya', 'meskipun', 'hanya', 'dianggap', 'temen', 'doang', 'ya']","['seneng', 'banget', 'deh', 'pas', 'ulang', 'kemarin', 'mas', 'gebetan', 'ngelakuin', 'gue', 'dianggap', 'temen', 'doang']","['seneng', 'banget', 'deh', 'pas', 'ulang', 'tahun', 'kemarin', 'mas', 'gebetan', 'mau', 'ngelakuin', 'apa', 'saja', 'buat', 'saya', 'ya', 'meskipun', 'hanya', 'dianggap', 'temen', 'doang', 'ya']"
bertemu banyak orang dalam acara donor darah,terimakasih buat tim medis yang udah berjuang menangani covid tanpa pamrih,"sukses itu bukan keberuntungan gaes, tapi hasil dari kerja keras dan fokus kita. yok gaes tetep berusaha biar sukses","akhirnya sakit hati terus tiap udah percaya sama orang, ending nya sama pasti dikecewai lagi dan lagi","gue suka banget diskusi tentang ide-ide yang progresif. rasanya tuh bisa nambah wawasan kita tentang isi dunia, dan juga bisa membua jendela baru yang lebih baik","['bertemu', 'banyak', 'orang', 'dalam', 'acara', 'donor', 'darah']","['bertemu', 'orang', 'acara', 'donor', 'darah']","['bertemu', 'banyak', 'orang', 'dalam', 'acara', 'donor', 'darah']"
tetangga aku kalo sore pada gosip depan rumah aku jadi ikutan nge gosip deh,"gue baru aja baca tentang penting dan wajibnya zakat, jangan lupa berzakat yaa","komitmen ga gampang, tapi kalo misal kita fokus sama konsisten buat ngejalanin apa yang udah kita mulai, hasilnya pasti ada. semangat gaes","idup gue gelisah banget tiap malem, sampe gabisa tidur pikiran gue kemana-mana. takut gagal lagi dan bikin kecewa semua orang","menurut aku ya, kebebasan berpendapat itu adalah suatu hak yang ngga bisa diganggu gugat. setiap orang pasti mempunyai suara dan mempunyai nilai dari suara mereka","['tetangga', 'aku', 'kalo', 'sore', 'pada', 'gosip', 'depan', 'rumah', 'aku', 'jadi', 'ikutan', 'nge', 'gosip', 'deh']","['tetangga', 'sore', 'gosip', 'rumah', 'ikutan', 'nge', 'gosip', 'deh']","['tetangga', 'saya', 'kalau', 'sore', 'pada', 'gosip', 'depan', 'rumah', 'saya', 'jadi', 'ikutan', 'nge', 'gosip', 'deh']"
pacar gue punya sense of humor yang keren banget hari ini ketawa terus garagara guyonan dia hidup jadi lebih ceria,tenggo itu jadi salah satu menaati aturan kan wkwkwkwk,"kamis itu hari yang paling sibuk karena harus ngajar, ngasprak, dan harus rapat himpunan wow..","kalo dipikir pikir enak ya kalo jadi cowo ganteng, kayaknya setengah permasalahan hidupnya teratasi ga sih",stop fanatik dan tutup mata karena itu termasuk penyakit hati yang sulit disembuhkan.,"['pacar', 'gue', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']","['pacar', 'gue', 'sense', 'of', 'humor', 'keren', 'banget', 'ketawa', 'garagara', 'guyonan', 'hidup', 'ceria']","['pacar', 'saya', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']"
gak masalah gue dulu sering ikut ortu gue pindah rumah harus pindah pindah sekolah pula justru seru sering dapet temen temen baru di tempat tinggal yang baru,"dalam pertengkaran, siapa yang cepat minta maaf itu yang lebih baik, mengalah bukan berarti kalah tapi menjaga kedamaian itu lebih penting..",proud of me karna udah bisa berhasil nyelesain semua tugas tepat waktu.,gue orangnya panikan jadi jangan kagetin gue atau prank gue ya.,"yang gue suka kalo ke wahana bermain tuh, ya permainan permainan seru yang belum pernah gue coba sebelum nya.","['gak', 'masalah', 'gue', 'dulu', 'sering', 'ikut', 'ortu', 'gue', 'pindah', 'rumah', 'harus', 'pindah', 'pindah', 'sekolah', 'pula', 'justru', 'seru', 'sering', 'dapet', 'temen', 'temen', 'baru', 'di', 'tempat', 'tinggal', 'yang', 'baru']","['gue', 'ortu', 'gue', 'pindah', 'rumah', 'pindah', 'pindah', 'sekolah', 'seru', 'dapet', 'temen', 'temen', 'tinggal']","['tidak', 'masalah', 'saya', 'dulu', 'sering', 'ikut', 'ortu', 'saya', 'pindah', 'rumah', 'harus', 'pindah', 'pindah', 'sekolah', 'pula', 'justru', 'seru', 'sering', 'dapet', 'temen', 'temen', 'baru', 'di', 'tempat', 'tinggal', 'yang', 'baru']"
eh ini depan gue siapa ya pengin bgt gue ajakin kenalan anjir,"tetep sholat ya, walaupun saat sholat pikiran kalian kemana-mana","pliss mulai sekarang jgn malas-malasan, hal itu cuma bikin waktu terbuang sia-sia. yuk, mulai aktif dan produktif buat capai semua target","semua orang bilang kalau aku itu kuat, tapi mereka gapernah tahu betapa depresinya aku kalau merasa gagal ","kadang ide terbaik datang dari tempat yang paling ngga terduga. makanya, kita jangan menutup diri harus selalu terbuka dengan segala kemungkinan yang ada","['eh', 'ini', 'depan', 'gue', 'siapa', 'ya', 'pengin', 'bgt', 'gue', 'ajakin', 'kenalan', 'anjir']","['eh', 'gue', 'pengin', 'bgt', 'gue', 'ajakin', 'kenalan', 'anjir']","['eh', 'ini', 'depan', 'saya', 'siapa', 'ya', 'pengin', 'banget', 'saya', 'ajakin', 'kenalan', 'anjir']"
